Country,Totallife,Malelife,Femalelife,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total
United Republic of Tanzania,63.9,62,65.8,22,41,28,41,84,55,15,30,19,31,76,44,3,11,4,16,65,27
United States of America,78.5,76,81,100,100,100,97,100,99,100,100,100,97,100,99,100,100,100,0,100,0
Uruguay,77.1,73.2,80.8,96,96,96,94,100,99,90,95,95,84,99,98,85,95,94,75,99,97
Uzbekistan,72.3,69.7,75,100,100,100,96,99,98,98,99,99,93,99,96,88,98,93,76,95,85
Vanuatu,72,70.1,74.1,32,50,36,88,99,91,45,59,49,83,98,86,60,67,62,78,96,82
Venezuela (Bolivarian Republic of),74.1,69.5,79,0,0,94,0,0,96,0,0,94,0,0,96,0,0,0,0,0,97
Viet Nam,76.3,71.7,80.9,76,94,82,92,98,94,63,88,71,85,96,89,43,81,52,76,94,80
Yemen,65.3,63.9,66.8,43,88,59,55,79,63,37,87,53,44,76,54,27,86,42,26,72,38
Zambia,62.3,60.2,64.4,19,36,26,41,84,59,16,40,25,38,84,56,12,46,24,31,84,49
Zimbabwe,61.4,59.6,63.1,32,48,37,50,94,65,34,56,41,54,94,68,36,65,46,60,95,72
