Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Kenya,27,35,29,27,35,29,28,35,30,28,35,30,28,35,30,29,35,30,29,35,31,30,35,31,30,35,31,30,35,31,31,35,32,31,36,32,31,36,32,32,36,33,32,36,33,32,36,33,33,36,33,33,36,34
Kiribati,,,48,,,47,,,45,,,44,,,43,,,42,,,40,,,39,,,38,,,36,,,35,,,33,,,32,,,30,,,28,,,27,,,25,,,24
Kuwait,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Kyrgyzstan,99,92,97,99,92,97,99,92,97,99,92,97,99,92,96,98,93,96,97,93,96,97,93,95,96,93,95,96,93,95,95,94,94,94,94,94,94,94,94,93,94,94,93,94,93,92,94,93,92,94,92,92,94,92
Lao People's Democratic Republic,64,95,74,61,94,72,58,92,69,56,90,67,53,88,64,50,87,62,48,85,59,45,83,56,42,82,54,40,80,51,37,78,49,34,76,46,31,75,43,29,73,40,26,72,37,23,70,34,20,69,31,17,67,28
Latvia,83,96,92,83,96,92,82,96,91,81,96,91,81,96,91,80,96,91,79,96,91,79,96,90,78,96,90,77,96,90,77,96,90,76,96,90,75,96,89,75,96,89,74,96,89,73,96,89,73,96,88,73,96,88
Lebanon,,,98,,,97,,,95,,,94,,,92,,,91,,,89,,,88,,,86,,,84,,,83,,,81,,,80,,,78,,,77,,,75,,,75,,,75
Lesotho,43,43,43,41,41,41,39,40,39,37,39,37,35,38,36,33,37,34,31,36,32,28,35,30,26,33,28,24,32,26,22,31,24,20,30,22,18,28,20,15,27,18,13,26,16,11,24,14,8,23,11,6,21,9
Liberia,6,28,17,6,28,17,6,28,17,6,28,17,5,28,16,5,28,16,5,28,16,5,28,16,5,28,16,5,28,16,5,28,15,5,28,15,5,27,15,4,27,15,4,27,14,4,26,14,4,26,14,4,25,14
Libya,,,100,,,100,,,100,,,100,,,100,,,99,,,99,,,99,,,99,,,99,,,99,,,98,,,98,,,98,,,98,,,98,,,98,,,97
Lithuania,85,97,93,84,97,93,83,97,92,82,97,92,81,96,91,80,96,91,79,96,90,77,96,90,76,95,89,75,95,89,74,95,88,73,95,87,72,94,87,71,94,86,70,94,86,69,94,85,68,93,85,66,93,84
Luxembourg,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,98,98,99,98,98,99,98,98,99,98,98
Madagascar,6,18,11,6,17,10,6,17,10,6,16,9,6,16,9,5,15,9,5,15,8,5,14,8,5,14,8,5,13,7,4,13,7,4,12,6,4,12,6,4,11,6,3,11,5,3,10,5,3,10,5,3,9,5
Malawi,25,34,26,24,34,26,24,34,26,24,34,25,23,34,25,23,33,25,23,33,24,22,33,24,22,33,24,22,33,23,21,33,23,21,33,23,21,33,22,20,32,22,20,32,22,20,32,21,19,32,21,19,32,21
Malaysia,99,100,100,99,100,100,99,100,100,99,100,100,98,100,99,98,100,99,98,100,99,97,99,99,97,99,99,97,99,98,97,99,98,96,99,98,96,99,98,96,99,98,95,99,97,95,99,97,95,98,97,94,98,97
Maldives,99,99,99,99,99,99,99,99,99,97,99,98,95,98,96,93,98,94,90,97,93,88,96,91,86,96,89,84,95,88,81,95,86,79,95,85,77,94,83,75,94,81,73,93,79,71,93,78,69,93,76,67,92,74
Mali,29,53,39,28,52,38,26,51,36,25,50,35,24,48,33,22,47,32,21,46,30,20,45,29,18,44,27,17,43,26,16,41,25,15,40,23,14,39,22,13,38,21,12,37,20,11,36,18,10,35,17,9,34,16
Malta,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Marshall Islands,59,91,83,59,91,83,59,91,83,59,91,83,59,90,82,59,90,82,59,90,82,59,90,82,59,90,81,59,90,81,59,89,81,59,89,81,59,89,80,59,89,80,59,89,80,59,89,80,59,89,80,,,
