Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Italy,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,85,96,91,85,96,91,84,95,90,84,95,90,84,95,90,84,96,91,85,96,91,85,96,91,86,97,92,86,97,92,87,97,92,87,97,93,88,98,93,88,98,93,89,98,94,89,98,93,88,98,93,88,98,93
Japan,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,98,,,98,,,98,,,98,,,98
Jordan,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,100,99,98,100,99,98,100,99,98,100,99,98,100,99,98,100,99
Kazakhstan,92,98,96,91,98,95,90,98,94,88,98,94,87,98,93,86,98,93,85,97,92,84,97,91,82,97,91,81,96,90,80,96,89,79,96,88,78,96,88,76,95,87,75,95,86,74,95,86,73,94,85,72,94,85
Kenya,50,85,59,49,85,58,48,85,58,47,85,57,47,85,56,46,86,56,45,86,55,45,86,54,44,86,54,43,86,53,42,87,52,42,87,52,41,87,51,40,87,50,39,87,49,39,88,49,38,88,48,37,88,47
Kiribati,,,72,,,70,,,69,,,68,,,67,,,65,,,64,,,63,,,61,,,60,,,59,,,58,,,56,,,55,,,54,,,53,,,51,,,50
Kuwait,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Kyrgyzstan,82,97,87,82,97,87,81,97,87,81,97,87,80,97,86,80,97,86,79,97,85,78,97,85,78,96,84,77,96,84,77,96,83,76,96,83,75,96,83,75,95,82,74,95,82,74,95,81,73,95,81,73,95,81
Lao People's Democratic Republic,76,94,82,73,93,80,71,92,78,69,91,76,67,90,74,64,89,72,62,88,70,60,87,68,58,86,66,56,85,64,53,84,62,51,83,60,49,82,58,47,81,56,45,80,53,42,79,51,40,78,49,38,77,47
